bottleneck,repeat,Sensitive,CRISPR,SM,Total,prop.Sensitive,prop.CRISPR,prop.SM
100,1,0,20,4,24,0,0.833333333,0.166666667
100,2,0,24,0,24,0,1,0
100,3,1,18,5,24,0.041666667,0.75,0.208333333
100,4,1,20,3,24,0.041666667,0.833333333,0.125
100,5,3,20,1,24,0.125,0.833333333,0.041666667
100,6,0,21,3,24,0,0.875,0.125
1000,1,1,17,6,24,0.041666667,0.708333333,0.25
1000,2,1,19,4,24,0.041666667,0.791666667,0.166666667
1000,3,0,22,2,24,0,0.916666667,0.083333333
1000,4,4,19,1,24,0.166666667,0.791666667,0.041666667
1000,5,1,20,3,24,0.041666667,0.833333333,0.125
1000,6,0,19,5,24,0,0.791666667,0.208333333
10000,1,2,19,3,24,0.083333333,0.791666667,0.125
10000,2,3,18,3,24,0.125,0.75,0.125
10000,3,1,17,6,24,0.041666667,0.708333333,0.25
10000,4,2,18,4,24,0.083333333,0.75,0.166666667
10000,5,3,18,3,24,0.125,0.75,0.125
10000,6,0,18,6,24,0,0.75,0.25
100000,1,1,18,5,24,0.041666667,0.75,0.208333333
100000,2,0,24,0,24,0,1,0
100000,3,1,21,2,24,0.041666667,0.875,0.083333333
100000,4,4,14,6,24,0.166666667,0.583333333,0.25
100000,5,2,18,4,24,0.083333333,0.75,0.166666667
100000,6,4,17,3,24,0.166666667,0.708333333,0.125
1000000,1,4,20,0,24,0.166666667,0.833333333,0
1000000,2,2,20,2,24,0.083333333,0.833333333,0.083333333
1000000,3,3,18,3,24,0.125,0.75,0.125
1000000,4,4,15,5,24,0.166666667,0.625,0.208333333
1000000,5,5,15,4,24,0.208333333,0.625,0.166666667
1000000,6,1,18,5,24,0.041666667,0.75,0.208333333
10000000,1,8,11,5,24,0.333333333,0.458333333,0.208333333
10000000,2,4,15,5,24,0.166666667,0.625,0.208333333
10000000,3,6,16,2,24,0.25,0.666666667,0.083333333
10000000,4,5,16,3,24,0.208333333,0.666666667,0.125
10000000,5,3,13,8,24,0.125,0.541666667,0.333333333
10000000,6,9,15,0,24,0.375,0.625,0
100000000,1,na,na,na,na,na,na,na
100000000,2,na,na,na,na,na,na,na
100000000,3,0,24,0,24,0,1,0
100000000,4,0,24,0,24,0,1,0
100000000,5,na,na,na,na,na,na,na
100000000,6,na,na,na,na,na,na,na
1000000000,1,na,na,na,na,na,na,na
1000000000,2,na,na,na,na,na,na,na
1000000000,3,na,na,na,na,na,na,na
1000000000,4,na,na,na,na,na,na,na
1000000000,5,na,na,na,na,na,na,na
1000000000,6,na,na,na,na,na,na,na
